title;wikipedia url;human-written synopsis from wikipedia;[story block: character(s)];[story block: setting(s)];[story block: issue(s)];ai-written retelling;
the owl  ;https://en.wikipedia.org/wiki/the_owl_(fairy_tale);"in the story, a horned owl flies into a barn owned by a local at the nearby town. the owl quickly frightens all of the townspeople who try to enter the barn. the same day, a man known for his courage and bravery in warlike skills announces to the populace that they are ""all acting like women"". he then ventures into the barn with a spear.  the owl hoots at him, and he flees in terror.  the townspeople finally come up with the decision to burn the barn down and be rid of the owl forever.";;;;;
the pack of ragamuffins ;https://en.wikipedia.org/wiki/the_pack_of_ragamuffins;a rooster and hen go to eat nuts.  they make a carriage of nutshells to come back in;;;;;
the peasant and the devil ;https://en.wikipedia.org/wiki/the_peasant_and_the_devil;a peasant found a devil in his fields, sitting on a fire. he guessed he was sitting on treasure, and the devil offered it if for two years, half of the crop was his. the peasant agreed, and said that to prevent disputes, the half above the ground was the devil's, and the half below the peasant's. when the devil agreed, the peasant planted turnips.;;;;;
the peasant in heaven ;https://en.wikipedia.org/wiki/the_peasant_in_heaven;a peasant and a rich man went to heaven. saint peter let the rich man in but overlooked the peasant;;;;;
the peasant's wise daughter ;https://en.wikipedia.org/wiki/the_peasant%27s_wise_daughter;a peasant begged some land from the king.  when he and his daughter dug the field, they found a mortar made of gold. the daughter warned that if they gave it to the king for his kindness, he would ask for the pestle as well;;;;;
the pink ;https://en.wikipedia.org/wiki/the_pink;a childless queen prayed for a child.  an angel told her she would have a son with the power of wishing.  she had such a son, and every day went with the child to a park where wild beasts were kept.  there she washed herself in a stream.  one day, a cook stole the child and stained the queen's clothing with hen's blood;;;;;
puddocky ;https://en.wikipedia.org/wiki/puddocky;the story opens with the heroine, who is so greedy for parsley that her mother steals it for her. as a result, she is called parsley. the parsley comes from the garden of a neighboring convent run by an abbess. the girl is seen by three princes, and because of her beauty, they quarrel over her. the resentful abbess curses the girl for the commotion, turning her into a toad and sending her far away..;;;;;
the queen bee ;https://en.wikipedia.org/wiki/the_queen_bee;two sons of a king went out to seek their fortunes, but fell into disorderly ways. the third and youngest son, simpleton, went out to find them, but they mocked him. they traveled on, and simpleton prevented his brothers from destroying an ant hill, killing some ducks, and suffocating a bee hive with smoke. then they came to a castle with stone horses in the stable, and no sign of anyone. they hunted through the castle and found a room with a little gray man, who showed them to dinner. in the morning, he showed the oldest son a stone table, on which were written three tasks. whoever performed them would free the castle.;;;;;
the raven (brothers grimm) ;https://en.wikipedia.org/wiki/the_raven_(brothers_grimm);a queen wished her naughty daughter would turn into a raven and fly away, so she could have some peace, and her wish was instantly fulfilled.  she flew away to a forest.;;;;;
the riddle  ;https://en.wikipedia.org/wiki/the_riddle_(fairy_tale);there once was a prince who decided to go on a journey with his servant.  in a dark forest, they came to a small house, where a maiden warned them that her stepmother was a witch who disliked strangers, but unfortunately there was nowhere else for shelter.  the prince and his servant reluctantly entered the witch's house, but before they went to bed, the maiden warned the prince and his servant not to eat or drink anything the witch gave them because it might be poisonous. the next morning, the witch gave the prince's servant a poisonous drink, telling him to give it to his master, but the servant ended up spilling it on the prince's horse, killing it.;;;;;
the robber bridegroom  ;https://en.wikipedia.org/wiki/the_robber_bridegroom_(fairy_tale);a miller wishes to marry his daughter off, and so when a rich suitor appears, he betroths her to him. one day the suitor complains that the daughter never visits him. he tells her that he lives in the forest and overrides her reluctance to visit by telling her he will leave a trail of ashes so she could find his home. she fills her pockets with peas and lentils and marks the trail with them as she follows the ashes.;;;;;
saint solicitous ;https://en.wikipedia.org/wiki/saint_solicitous;a princess named solicitous was very devoted to her religion and vowed to god that she would remain a virgin and never marry anyone. when her father the king became determined to marry her off, she prayed, wishing for a beard to grow on her face so that no man would wish to marry her. her prayer was answered, and the king, indignant, decided to crucify her. she became a saint upon her death, and a statue of her was placed in a church.;;;;;
the sea-hare ;https://en.wikipedia.org/wiki/the_sea-hare;"a princess had a magical tower with twelve windows, and whenever she looked from a window, she saw more clearly from it than the one before.  being haughty, she had no wish to marry, and decreed that any suitor must hide from her to win her, but if she found him, he was to lose his head.  after ninety-seven lost their lives, three brothers presented themselves, and the first two lost.  the youngest son asked for three tries.  he went hunting and spared a raven, a fish, and a fox.  the raven tried to hide him in an egg, where he could be seen only from the eleventh window.  the fish swallowed him, where he could be seen only from the twelfth.  the fox turned him into a pretty ""sea-hare"" (an uncertain mammal) and sold him to the princess.  when she went to the windows, he hid in her hair.  she could not see him, and angrily threw the sea-hare out of her hair.  he sneaked off, the fox restored him, he went to claim her, and they married.";;;;;
the seven ravens ;https://en.wikipedia.org/wiki/the_seven_ravens;a peasant has seven sons and no daughter. finally a daughter is born, but is sickly. the father sends his sons to fetch water for her to be baptized. in their haste, they drop the jug in the well. when they do not return, their father thinks that they have gone off to play and curses them and so they turn into ravens.;;;;;
the singing bone ;https://en.wikipedia.org/wiki/the_singing_bone;a boar lays waste to a country, and two brothers set out to kill it, with the prize being given the princess's hand in marriage. the younger meets a dwarf who gives him a spear, and with it, he kills the boar. carrying the body off, the man meets his older brother, who had joined with others to drink until he felt brave. the older brother lures him in, gives him drink, and learns of the younger brother's adventure. they then set out to deliver the body to the king, but on passing a bridge, the older kills the younger and buries his body beneath it. he takes the boar himself to the king and marries the king's daughter as prize.;;;;;
the singing, springing lark ;https://en.wikipedia.org/wiki/the_singing,_springing_lark;there is a man with three daughters. one day, he must leave on a journey and asks each of his daughters what they would like him to bring back. the oldest wants diamonds, the second pearls, and the youngest a singing, springing lark. the man is able to find diamonds and pearls, but he fails to find a lark. on his journey home, the man sees a lark in a tall tree, and orders his servant to catch it.  suddenly a lion springs out and threatens to kill them both for trying to steal the lark. in exchange for their lives and the lark, the lion demands that the man bring him the first thing to meet him on his return home. the man fears it will be his youngest daughter who greets him, but his servant persuades him to accept the bargain.;;;;;
the six servants ;https://en.wikipedia.org/wiki/the_six_servants;an evil queen is a sorceress who has a beautiful princess daughter. she offers her hand in marriage, but all suitors have to fulfill impossible tasks. none of them ever managed to bring those to a good end, so she has all who failed beheaded.;;;;;
the six swans ;https://en.wikipedia.org/wiki/the_six_swans;a king gets lost in a forest while hunting for game. an old witch promises to help the lost king get back home, on the condition that he marry her beautiful daughter. the king suspects the mysterious maiden to be wicked, but agrees to marry her. he has six sons and a daughter from his first marriage, however, and fears that the children will be abused by his new wife. so before the wedding, the king sends his children to a hidden castle in the forest, secretly visiting them by following a magical reel of thread given to him by a wise woman.;;;;;
spindle, shuttle, and needle ;https://en.wikipedia.org/wiki/spindle,_shuttle,_and_needle;a girl's parents having died, was raised by her godmother, who died, leaving her the house and a spindle, a shuttle, and a needle to earn her living.  she did quite well at it.;;;;;
the spirit in the bottle ;https://en.wikipedia.org/wiki/the_spirit_in_the_bottle;once upon a time, there was an old woodcutter and his young son. the woodcutter always wanted his son to go to school, but they didn't have enough money, and after a few years he had to come home. the son insisted on going to the woods to work with his father, but the father didn't think he could handle the hard work. during a lunch break, instead of resting, he defied his father and went wandering through the forest, where he heard a voice saying it was trapped at the bottom of the tree. there he saw a bottle, but when he opened it a giant demon sprang out and said it would break his neck and kill him. the young woodcutter then challenged the demon spirit, saying that it did not have the ability to get back in the bottle. so the spirit, to show that he really could do whatever he wanted, re-entered the bottle to show the boy how strong he was, and the boy stopped the bottle up again. the demon, shocked, began begging the woodcutter's son to open the bottle again, but he refused unless the spirit promised to benefit the boy.;;;;;
the star money ;https://en.wikipedia.org/wiki/the_star_money;a goodhearted orphan girl has only her clothing and a loaf of bread that a kind soul has given her. she goes out into the countryside to see what might happen. she gives a hungry beggar her bread, and to three cold children she gives her winter hat, her jacket, and her dress. after wandering into a forest, she sees a naked child begging for a shift (long undergarment), and since it is dark and she cannot be seen, she gives her own away. as she stands there with nothing left at all, suddenly stars fall to earth before her, transforming into talers (silver coins), and she finds herself wearing a new dress of the finest linen. the story ends with her being rich.;;;;;
the stolen farthings ;https://en.wikipedia.org/wiki/the_stolen_farthings;a couple was having dinner with a guest. at midnight, the guest saw a child in white dress  come in the house and go straight into the next room. the same thing happened again the next day and the day after that. the guest told the father what happened. the father said he had never seen the child before. one night, the guest peeked in the room. he saw the little child sitting on the floor, and digging up something between the boards of the floor. he reported what he saw to the mother, and she told him that it was probably their child who had died a month ago. the child received 2 farthings from the mother and was planning on giving it to a poor man. the child changed its mind and decided to hide them between the floorboards so it could buy biscuits later. however, it did not get to use them before it died. thus, it came back to check on the farthings. they donated the farthings to a poor man and the ghost never came back.;;;;;
the straw, the coal, and the bean ;https://en.wikipedia.org/wiki/the_straw,_the_coal,_and_the_bean;an old woman has some beans that she intends to cook over her fire.  being in a hurry, she grabs some straw to make the fire light faster.  she pours the beans in the pot and, being in a hurry, she drops one on the floor which lands next to a piece of straw.  soon the fire is burning nicely and a hot coal jumps out and lands next to the straw and the bean.  they discuss that they have narrowly escaped the fire, and they band together to flee.;;;;;
sweetheart roland ;https://en.wikipedia.org/wiki/sweetheart_roland;a wicked witch had an evil daughter, whom she loved, and a good stepdaughter, whom she hated. one day, the witch decided she would kill the stepdaughter at night, and the daughter was told to make sure she lay by the wall, and her stepsister in the front of the bed. the stepdaughter overheard this and, after her stepsister slept, she shifted their places. the witch instead killed her own daughter, and the stepdaughter rose and went to her sweetheart roland, telling what had happened, and that they had to flee.;;;;;
the tailor in heaven ;https://en.wikipedia.org/wiki/the_tailor_in_heaven;god went to walk in the heavenly garden and took everyone except st. peter.  a tailor arrived at the gate.  st. peter refused to admit him, because he had stolen clothing and because god had forbidden him to admit anyone.  the tailor begged, and st. peter let him sit in the corner to await god.  the tailor wandered off and found the chair where god could see everything on earth.  he sat and saw an old woman steal two veils while doing laundry.  he threw a golden stool at her.  god returned, said that if he was that merciless, heaven would be bare because he would have thrown everything at the earth, and threw the tailor out.;;;;;
the thief and his master ;https://en.wikipedia.org/wiki/the_thief_and_his_master;"jan wants his son to learn a profession, so he goes to church to ask the lord what profession would be good for him. the sexton behind the altar says ""steal, steal"" and jan tells his son that he should learn to steal. they go looking for someone who can teach him and in a large forest they find a small house with an old woman. jan's son is allowed to stay for a year to learn the profession.";;;;;
the three apprentices ;https://en.wikipedia.org/wiki/the_three_apprentices;"three apprentices banded together and agreed to work in the same town, but they had grown so poor that they thought they had to separate. a richly dressed man asked them to help him for money. one noticed that he had a horse's foot, but though he was the devil, he assured them that he only wanted a soul that was already half his and not theirs. he gave them money and told them that, whenever they were spoken to, the first one was to say ""all three of us""";;;;;
the three army surgeons ;https://en.wikipedia.org/wiki/the_three_army_surgeons;three traveling army surgeons perform surgery on themselves to impress an innkeeper. after removing their own organs, they will put them back in the morning. one cuts off his hand, one cuts out his heart and one removes his own eyes. during the night a girl working at the inn has a visit from her lover, a soldier. she gives him some food from the cupboard that is holding the organs. the cat comes and takes the organs. after seeing the organs gone, she tells the soldier. he goes to the gallows and cuts the correct hand off a thief and brings it to her. he then gets the heart of a pig and eyes of a cat. in the morning the doctors re-attach the missing members using a salve they carry with them.  after going on the road again one doctor could not see with his reinstalled eyes and had the others guide him. another doctor started rooting around in the dirt. when they reached another inn the third doctor found he could not help stealing. after traveling back to the original inn they found the girl had fled seeing their approach. they threatened to burn down the inn unless the innkeeper make reparations. he paid them enough to retire, though they still wanted their original organs back.;;;;;
the three feathers ;https://en.wikipedia.org/wiki/the_three_feathers;a king has three sons: the eldest and the middle one are brave and strong, but the youngest is gullible and naïve, so he is called simpleton. one day, the king casts three feathers into the air, and when they land, each of his children should follow to see where it leads. simpleton discovers the feather has landed in a lake or pond where a toad lives that speaks in rhyme.;;;;;
the three languages ;https://en.wikipedia.org/wiki/the_three_languages;a count's only son could learn nothing. three times the count sent him for a year to famous masters. each time, the son came back: saying first that he knew what dogs said when they barked;;;;;
the three little birds ;https://en.wikipedia.org/wiki/the_three_little_birds;three sisters were tending cows when a king and his company went by. the oldest pointed at the king and said she would marry him or no one;;;;;
the three little men in the wood ;https://en.wikipedia.org/wiki/the_three_little_men_in_the_wood;a woman offers her hand in marriage to a widower: in return, her daughter would wash and drink water, and the man's daughter would wash with milk and drink wine. after performing a test to determine his choice, he marries the woman, who keeps her word. however, by the second day of marriage, both daughters bathe and wash with water. by the third, the man's daughter washes with and drinks water, while the woman's daughter drinks wine and washes with milk. it remains this way afterwards, because the woman secretly hates her step-daughter due to her being prettier than her own.;;;;;
the three snake-leaves ;https://en.wikipedia.org/wiki/the_three_snake-leaves;via his valor in battle, a young man wins the king's daughter to wife, but has to agree to an unusual demand from the princess: if either of them should die, the other will be buried alive with the former.;;;;;
the three spinners ;https://en.wikipedia.org/wiki/the_three_spinners;once there was a beautiful-but-lazy girl named sarah who would not spin. while her mother beats her for it, the queen, passing by, overhears and asks the reason for the punishment. ashamed to admit that sarah is lazy, the woman replies that sarah spins so much that her mother cannot afford to buy enough flax to keep her occupied. the queen, impressed by such industry, offers to take sarah with her.;;;;;
thumbling ;https://en.wikipedia.org/wiki/thumbling;"in ""thumbling"",[3] a poor childless peasant couple wishes for a child ""no matter how small"" aloud. seven months later the wife has a small child ""no longer than a thumb"" which they call ""thumbling"" and who becomes a ""wise and nimble creature."" thumbling as he grows wishes to help his father in the chores so one day asks if he can lead their horse to where his father is working by sitting in the horse's ear and giving it directions. as thumbling performs this chore, two strange men notice the horse being led by a loud voice, and when they find out the voice belongs to a person sitting in the horse's ear, ask the peasant if they can buy thumbling to ""make a fortune"" in exhibiting the little man. thumbling convinces the peasant to take the money and leaves with the men by sitting on the brim of one of the men's hats. then after a while thumbling tricks the men into letting him down and he goes to hide in a mouse hole.";;;;;
thumbling's travels ;https://en.wikipedia.org/wiki/thumbling%27s_travels;thumbling is the thumb-sized son of a tailor, and sometimes called a little tailor.  thumbling sets out into the world to seek his fortune. before his departure, he is given a darning needle sword by his father and a final meal by his mother. the steam from the cooking pot carries thumbling up the chimney and away from home. the little man goes to the house of a master craftsman, seeking to apprentice with him, but is displeased by the food there. he taunts the mistress of the house, who proceeds to chase him about the tabletop with a dishcloth seeking to strike or catch him like an insect. she eventually drives him from the house.;;;;;
town musicians of bremen ;https://en.wikipedia.org/wiki/town_musicians_of_bremen;"in the story, a donkey, a dog, a cat, and a rooster, all past their prime years in life and usefulness on their respective farms, were soon to be discarded or mistreated by their masters. one by one, they leave their homes and set out together. they decide to go to bremen, known for its freedom, to live without owners and become musicians there (""something better than death we can find anywhere"").";;;;;
the true bride ;https://en.wikipedia.org/wiki/the_true_bride;a beautiful young girl was made to work hard by her wicked stepmother. one day, the stepmother set her to pick twelve pounds of feathers before night and promised a beating if she failed. the girl cried. an old woman asked about her troubles;;;;;
trusty john ;https://en.wikipedia.org/wiki/trusty_john;in some variants, a king on his deathbed orders his servant, trusty john, not to let his son see a certain room, which holds a portrait of a princess.;;;;;
the turnip ;https://en.wikipedia.org/wiki/the_turnip;two brothers, one rich, one poor, served as soldiers, but the poor one had to become a farmer to escape his poverty.  one of his turnips grew to an enormous size, and he gave it to the king.  the king gave him rich presents in return.  the rich brother gave the king many great presents, and the king gave him the turnip in return.  angry, the rich brother hired murderers and lured his brother on a path, but when the murderers were going to hang the poor brother, they heard someone singing, and they threw the poor brother into a sack and hanged it, before running off.  the poor brother worked a hole in the sack and saw the man, who was a student.  he told him that it was the sack of knowledge, and he was learning marvelous things in it.  the student asked to change places with him.  the poor brother agreed and hefted him up, telling him that he was learning something already, but after an hour, he sent someone to let the student down.;;;;;
the twelve brothers ;https://en.wikipedia.org/wiki/the_twelve_brothers;a king wants to kill his twelve sons, but only if his thirteenth child would be a girl. this way, she alone can inherit his kingdom. the queen tells this to their youngest son, benjamin, and that she will give them a warning with a flag. a white flag indicates that a baby boy was born, and a blood red flag indicates a girl was born and that the boys should run far away.;;;;;
the twelve dancing princesses ;https://en.wikipedia.org/wiki/the_twelve_dancing_princesses;in a kingdom lives a king and his twelve daughters. the twelve princesses sleep in twelve beds in the same bedroom, the doors to which their father locks every night. but every morning, the king unlocks his daughters' bedroom doors to find their shoes worn out as if they have been dancing all night. the king, perplexed, promises that any man who can solve the mystery can marry any of the twelve princesses and inherit the kingdom, but every suitor will be given only three days and three nights to discover the princesses' secret, or he will be beheaded.;;;;;
the twelve huntsmen ;https://en.wikipedia.org/wiki/the_twelve_huntsmen;once there was prince who was engaged to a beautiful maiden whom he loved. one day, the prince was summoned to his father's deathbed and was so grief-stricken that he promised he would marry the neighboring princess whom his father wished he would marry. after his father died and the prince became king, he felt bound by his promise to marry the other princess. his fiancée heard of the new king's promise and asked her father for eleven maidens who looked exactly like her. each maiden dressed as huntsmen went to the king's court.;;;;;
the two brothers ;https://en.wikipedia.org/wiki/the_two_brothers;a rich goldsmith and a poor broommaker were brothers. the broommaker had two identical twin sons.  one day, the broommaker saw a golden bird in the woods, knocked off a feather, and sold it to his brother for a great sum.  he pursued the bird again and found a golden lamp.  a third time, he brought back the bird itself, and his brother, who knew its powers—that whoever ate its heart and liver would find a gold coin beneath his pillow every night—had his wife cook it.  but his nephews came to the kitchen to beg, and when two bits fell from the bird, they ate them, and the gold coins appeared beneath their pillows.;;;;;
the two kings' children ;https://en.wikipedia.org/wiki/the_two_kings%27_children;once long ago, it was foretold that a king's son would be killed by a stag at the age of sixteen.;;;;;
the water nixie ;https://en.wikipedia.org/wiki/the_water_nixie;a brother and sister fell into a well, where a nixie caught them and made them work for her.  one sunday while she was at church, they ran away.  the nixie chased them.  the girl threw a brush, which became a mountain with thousands of spikes, which the nixie got through with great effort.  the boy threw a comb behind them, which became mountains with thousands of teeth, which the nixie got through with great effort.  the girl threw a mirror behind them, which became a mountain too slick for the nixie to climb.  she went back to get an axe, but before she could chop through the mountain, they escaped.;;;;;
the water of life  ;https://en.wikipedia.org/wiki/the_water_of_life_(german_fairy_tale);a king was dying. an old man told his sons that the water of life would save him. each one set out in turn. the two older ones, setting out in hopes of being the heir, were rude to a dwarf on the way and became trapped in ravines. when the youngest son went the dwarf asked where he was going, and he told him. the dwarf told him it was in a castle, and gave him an iron wand to open the gates and two loaves to feed to the lions inside.  then he had to get the water before the clock struck 12 when the gates would shut again.;;;;;
the wedding of mrs. fox ;https://en.wikipedia.org/wiki/the_wedding_of_mrs._fox;in the first version of the story, mr. fox has nine tails. he feigns death to test his wife's fidelity. mrs. fox rejects all the fox suitors that have fewer than nine tails. when she gets engaged to another fox with nine tails, mr. fox arises and throws everyone out of his house, including his wife.;;;;;
the white bride and the black one ;https://en.wikipedia.org/wiki/the_white_bride_and_the_black_one;a woman and her daughter are cutting fodder when the lord comes up to them and asks the way to the village. the woman and the daughter refuse to help, but the woman's stepdaughter offers to show him. in return, the others turn black and ugly, but the stepdaughter is granted three wishes: beauty, an everlasting purse of gold, and to go to heaven upon her death.;;;;;
the white snake ;https://en.wikipedia.org/wiki/the_white_snake;a wise king receives a covered dish every evening. a young servant is intrigued one night when he retrieves the king's dish and discovers a coiled white snake under the cover. the servant takes a small bite and discovers that he can now understand and communicate with animals.;;;;;
the willful child ;https://en.wikipedia.org/wiki/the_willful_child;once upon a time there was a child who was wilful and would not do what her mother wished. for this reason, god had no pleasure in her, and let her become ill. no doctor could do her any good, and in a short time, the child lay on her deathbed. when she had been lowered into her grave, and the earth was spread over her, all at once her little arm came out again and reached upward. and when they had pushed it back in the ground and spread fresh earth over it, it was all to no purpose, for the arm always came out again. then the mother herself was obliged to go to the grave and strike the arm with a rod. when she had done that, the arm was drawn in, and at last, the child had to rest beneath the ground. and everything went back to normal.;;;;;
the wolf and the fox ;https://en.wikipedia.org/wiki/the_wolf_and_the_fox;a wolf and a fox are living together where the fox (being the weaker of the two) is forced to do all the hard work for the wolf. one day, the wolf makes the fox get him something to eat and the fox says he knows where there are a couple of lambs. the fox steals a lamb for the wolf. but not content with just one, the wolf goes back for more. he is caught by the farmer's men and thrown out after being severely beaten.;;;;;
the wolf and the seven young goats ;https://en.wikipedia.org/wiki/the_wolf_and_the_seven_young_goats;a mother goat leaves her seven children at home while she ventures into the forest to find food. before she leaves, she warns her young about the wolf who will try to sneak into the house and gobble them up. he will pretend to be their mother and convince the kids to open the door. the young children will be able to recognize their true mother by her white feet and sweet voice.;;;;;
the story of the youth who went forth to learn what fear was ;https://en.wikipedia.org/wiki/the_story_of_the_youth_who_went_forth_to_learn_what_fear_was;a father had two sons. the dimwitted younger son, when asked by his father what he would like to learn to support himself, said he would like to learn how to shudder (as in, learn to have fear). a sexton told the father that he could teach the boy.  after teaching him to ring the church bell, he sent him one midnight to ring it and came after him, dressed as a ghost. the boy demanded an explanation. when the sexton did not answer, the boy, unafraid, pushed him down the stairs, breaking his leg.;;;;;
